Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testowanie zastepstw,Chrome 72.0.3626.109,,2019-02-26 08:14:18,2019-02-26 08:16:38,"2m - 19,868s",ERROR
,,,,,,
Test Cases/Testy jeden po drugim zastepstwa/Test_002.1 Nowe zastepstwo,Chrome 72.0.3626.109,,2019-02-26 08:14:21,2019-02-26 08:15:13,"52,262s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.109,,2019-02-26 08:14:21,2019-02-26 08:14:29,"7,968s",PASSED
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:14:30,2019-02-26 08:14:31,"0,662s",PASSED
"help_pack.Logowanie.zaloguj(""admin"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:14:31,2019-02-26 08:14:39,"7,925s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Menu glowne belka gorna/przyciski glowne na belce gornej/Zastepstwa i wnioski""), 10)",Chrome 72.0.3626.109,,2019-02-26 08:14:39,2019-02-26 08:14:39,"0,455s",PASSED
"click(findTestObject(""hsi_pl_login/Menu glowne belka gorna/Podmenu zastepstwa i wnioski/Lista (Definiowane)""))",Chrome 72.0.3626.109,,2019-02-26 08:14:39,2019-02-26 08:14:40,"0,834s",PASSED
"help_pack.Set_text_and_press_enter.set_text(findTestObject(""hsi_pl_login/Obiekty A i L/Obiekty dodatkowe do test_001/Do pola nazwisko""), ""Wojciechowski"")",Chrome 72.0.3626.109,,2019-02-26 08:14:40,2019-02-26 08:14:47,"7,131s",PASSED
Thread.sleep(200),Chrome 72.0.3626.109,,2019-02-26 08:14:47,2019-02-26 08:14:48,"0,261s",PASSED
"help_pack.wait_for_text.not_Present(""Proszę czekać..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:14:48,2019-02-26 08:14:48,"0,679s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Obiekty Ludwik/Obiekty dodatkowe do test_001/Wiersz pierwszy w tabela Stanwiska""), 5)",Chrome 72.0.3626.109,,2019-02-26 08:14:48,2019-02-26 08:14:49,"0,420s",PASSED
"selectOptionByLabel(findTestObject(""Wybierz opcje"", [""xpath"":""//select[@name='tblZastepstwaIndexGrid_length']""]), ""100"", false)",Chrome 72.0.3626.109,,2019-02-26 08:14:49,2019-02-26 08:14:49,"0,720s",PASSED
Thread.sleep(300),Chrome 72.0.3626.109,,2019-02-26 08:14:49,2019-02-26 08:14:50,"0,302s",PASSED
"help_pack.wait_for_text.not_Present(""Proszę czekać..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:14:50,2019-02-26 08:14:51,"1,305s",PASSED
driver = getWebDriver(),Chrome 72.0.3626.109,,2019-02-26 08:14:51,2019-02-26 08:14:51,"0,044s",PASSED
"Table = driver.findElement(By.xpath(""//table[@id='tblZastepstwaIndexGrid']/tbody""))",Chrome 72.0.3626.109,To locate table,2019-02-26 08:14:51,2019-02-26 08:14:51,"0,226s",PASSED
"rows_table = Table.findElements(By.tagName(""tr""))",Chrome 72.0.3626.109,To locate rows of table it will Capture all the rows available in the table,2019-02-26 08:14:51,2019-02-26 08:14:51,"0,080s",PASSED
"columns_table = Table.findElements(By.tagName(""td""))",Chrome 72.0.3626.109,,2019-02-26 08:14:51,2019-02-26 08:14:52,"0,226s",PASSED
LiczbaWierszyPrzedDodaniemZastepstwa = rows_table.size(),Chrome 72.0.3626.109,To calculate no of rows In table,2019-02-26 08:14:52,2019-02-26 08:14:52,"0,031s",PASSED
"click(findTestObject(""hsi_pl_login/Obiekty A i L/Obiekty dodatkowe do test_001/Button Nowe zastpestwo""))",Chrome 72.0.3626.109,,2019-02-26 08:14:52,2019-02-26 08:14:52,"0,395s",PASSED
"click(findTestObject(""hsi_pl_login/Obiekty A i L/Obiekty dodatkowe do test_001/Button zmien osobe zastepujaca""))",Chrome 72.0.3626.109,,2019-02-26 08:14:52,2019-02-26 08:14:53,"1,036s",PASSED
"help_pack.Set_text_and_press_enter.set_text(findTestObject(""pole tekstowe"", [""xpath"":""(//input[@name='nazwisko'])[2]""]), ""Borowska"")",Chrome 72.0.3626.109,Wyszukaj osobę w tabeli,2019-02-26 08:14:53,2019-02-26 08:15:03,"9,862s",PASSED
Thread.sleep(300),Chrome 72.0.3626.109,,2019-02-26 08:15:03,2019-02-26 08:15:03,"0,313s",PASSED
"help_pack.wait_for_text.not_Present(""Proszę czekać..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:15:03,2019-02-26 08:15:04,"1,132s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""tabela"", [""xpath"":""//table[@id='tblDostepnizastepujacyIndexGrid']/tbody/tr/td[2]""]), 15)",Chrome 72.0.3626.109,Kliknij wyszukany wiersz,2019-02-26 08:15:04,2019-02-26 08:15:05,"0,365s",PASSED
"setText(findTestObject(""hsi_pl_login/Obiekty A i L/Obiekty dodatkowe do test_001/pole tekstowe Wane od""), ""2019-02-09"")",Chrome 72.0.3626.109,,2019-02-26 08:15:05,2019-02-26 08:15:06,"1,251s",PASSED
"setText(findTestObject(""hsi_pl_login/Obiekty A i L/Obiekty dodatkowe do test_001/pole tekstowe Wane do""), ""2042-10-10"")",Chrome 72.0.3626.109,,2019-02-26 08:15:06,2019-02-26 08:15:07,"1,040s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Obiekty A i L/Obiekty dodatkowe do test_001/button Utworz i zamknij""), 5)",Chrome 72.0.3626.109,,2019-02-26 08:15:07,2019-02-26 08:15:08,"0,445s",PASSED
"help_pack.wait_for_text.not_Present(""Trwa zapisywanie..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:15:08,2019-02-26 08:15:12,"3,986s",PASSED
"help_pack.wait_for_text.not_Present(""Proszę czekać..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:15:12,2019-02-26 08:15:13,"1,223s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Obiekty Ludwik/Obiekty dodatkowe do test_001/wiersz pierwszy w tabela Zastepstwa""), 5)",Chrome 72.0.3626.109,,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,366s",PASSED
driver2 = getWebDriver(),Chrome 72.0.3626.109,,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,003s",PASSED
"Table2 = driver2.findElement(By.xpath(""//table[@id='tblZastepstwaIndexGrid']/tbody""))",Chrome 72.0.3626.109,To locate table,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,039s",PASSED
"rows_table2 = Table.findElements(By.tagName(""tr""))",Chrome 72.0.3626.109,To locate rows of table it will Capture all the rows available in the table,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,020s",PASSED
LiczbaWierszyPoDodaniuZastepstwa = rows_table2.size(),Chrome 72.0.3626.109,To calculate no of rows In table,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,000s",PASSED
assert LiczbaWierszyPrzedDodaniemZastepstwa != LiczbaWierszyPoDodaniuZastepstwa,Chrome 72.0.3626.109,,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,000s",PASSED
,,,,,,
Test Cases/Testy jeden po drugim zastepstwa/Test_003.3 Akceptacja zastepstwa,Chrome 72.0.3626.109,,2019-02-26 08:15:13,2019-02-26 08:16:18,"1m - 4,533s",ERROR
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.109,,2019-02-26 08:15:13,2019-02-26 08:15:13,"0,047s",PASSED
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:15:16,2019-02-26 08:15:16,"0,002s",NOT_RUN
"help_pack.Logowanie.zaloguj(""admin"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:15:16,2019-02-26 08:15:16,"0,000s",NOT_RUN
TworzenieZastepstwa(),Chrome 72.0.3626.109,,2019-02-26 08:15:16,2019-02-26 08:15:16,"0,017s",NOT_RUN
help_pack.Wyloguj.wyloguj(),Chrome 72.0.3626.109,,2019-02-26 08:15:16,2019-02-26 08:15:16,"0,648s",PASSED
"help_pack.Logowanie.zaloguj(""anna.borowska"", ""gqNiyN/IiIvaUo8G1BKwoQ=="")",Chrome 72.0.3626.109,,2019-02-26 08:15:16,2019-02-26 08:15:24,"7,313s",PASSED
AkceptacjaNaKoncieAnnaBorowska(),Chrome 72.0.3626.109,,2019-02-26 08:15:24,2019-02-26 08:15:24,"0,002s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""hsi_pl_login/Menu glowne belka gorna/przyciski glowne na belce gornej/Zastepstwa i wnioski""), 10)",Chrome 72.0.3626.109,,2019-02-26 08:15:24,2019-02-26 08:15:24,"0,438s",PASSED
"click(findTestObject(""hsi_pl_login/Menu glowne belka gorna/Podmenu zastepstwa i wnioski/Lista (Akceptacja)""))",Chrome 72.0.3626.109,,2019-02-26 08:15:24,2019-02-26 08:15:25,"0,814s",PASSED
Thread.sleep(300),Chrome 72.0.3626.109,,2019-02-26 08:15:25,2019-02-26 08:15:25,"0,310s",PASSED
"help_pack.wait_for_text.not_Present(""Proszę czekać..."", 15)",Chrome 72.0.3626.109,,2019-02-26 08:15:25,2019-02-26 08:15:28,"2,762s",PASSED
"help_pack.Wait_and_click.Clickable(findTestObject(""tabela"", [""xpath"":""//td[3]""]), 15)",Chrome 72.0.3626.109,Kliknij wiersz pierwszy w tabeli,2019-02-26 08:15:28,2019-02-26 08:15:28,"0,411s",PASSED
